site,source_url,saved_path,error
https://linde-gas.fi,https://linde-gas.fi/favicon.ico,logos/linde-gas.fi_9628f43e.png,
https://zkteco.vn,https://zkteco.vn/favicon.ico,logos/zkteco.vn_3183888d.png,
https://daikincareers.com,https://daikincareers.com/favicon.ico,logos/daikincareers.com_a663f9c6.ico,
https://daikintexastechnologypark.com,https://daikintexastechnologypark.com/apple-touch-icon.png,logos/daikintexastechnologypark.com_16989aeb.png,
https://ford.vn.ua,https://ford.vn.ua/favicon.ico,logos/ford.vn.ua_c5833c04.ico,
https://spie.lu,https://spie.lu/favicon.ico,logos/spie.lu_26846bb3.ico,
https://kumonla.com,https://kumonla.com/favicon.ico,logos/kumonla.com_0ad2b686.png,
https://rubiomonocoat.com.au,https://rubiomonocoat.com.au/apple-touch-icon.png,logos/rubiomonocoat.com.au_c9c497e6.png,
https://spitexaadorf.ch,https://spitexaadorf.ch/favicon.ico,logos/spitexaadorf.ch_c3d1208a.ico,
https://wurth.ua,https://wurth.ua/favicon.ico,logos/wurth.ua_e3b431eb.jpg,
https://ymca-cnw.org,https://ymca-cnw.org/favicon.ico,logos/ymca-cnw.org_aa3675fc.png,
https://thebodyshop.si,https://thebodyshop.si/favicon.ico,logos/thebodyshop.si_94e53856.png,
https://fmc-mexico.com,https://fmc-mexico.com/favicon.ico,logos/fmc-mexico.com_54b1b065.ico,
https://srpb2b.com,https://srpb2b.com/favicon.ico,logos/srpb2b.com_1d140c27.jpg,
https://immunospot.eu,https://immunospot.eu/favicon.ico,logos/immunospot.eu_e9ca4ce6.png,
https://orange.sn,https://orange.sn/favicon.ico,logos/orange.sn_48d19f6a.ico,
https://servier.com.ar,https://servier.com.ar/favicon.ico,logos/servier.com.ar_edc2af8e.png,
https://globalconnectgroup.com,https://globalconnectgroup.com/favicon.ico,logos/globalconnectgroup.com_f9b7e330.png,
https://mercyships.se,https://mercyships.se/favicon.ico,logos/mercyships.se_1020bc16.jpg,
https://aviapolska.pl,https://aviapolska.pl/favicon.ico,logos/aviapolska.pl_af070473.svg,
https://carglass.cz,https://carglass.cz/favicon.ico,logos/carglass.cz_b361e68d.png,
https://isic.de,https://isic.de/favicon.ico,logos/isic.de_cc5e07d9.png,
https://tupperware.co.kr,https://tupperware.co.kr/favicon.ico,logos/tupperware.co.kr_f39a05af.png,
